排名,姓名,锦标赛,ACES,双误,一发,一发得分,二发得分,挽救破发点,一发回球得分,二发回球得分,成功破发,抢七,决胜盘,首盘获胜,首盘告负
58,Denis Istomin,25,276,54,66,72,49,63,27,46,36,63.2,60,72.2,23.5
59,Joao Sousa,30,234,143,58,72,49,60,29,48,39,45.8,31.8,65.5,21.4
60,Peter Gojowczyk,21,175,94,53,78,48,58,28,51,44,72.7,60,76.9,40
61,Nikoloz Basilashvili,31,141,154,65,65,49,58,29,50,37,70,35.7,87,17.2
62,Donald Young,24,195,186,61,69,50,62,26,46,42,77.8,61.5,90.9,16.7
63,Jiri Vesely,26,276,187,62,70,49,61,28,48,44,31.6,64.7,95,16.7
64,Horacio Zeballos,32,244,92,64,72,55,58,22,49,37,31.6,64.7,95,16.7
65,Daniil Medvedev,26,333,179,61,72,49,65,27,49,40,58.8,58.8,76.2,24
66,Guido Pella,22,149,75,65,69,52,64,28,51,39,54.5,35.7,60,28.6
67,Dudi Sela,23,72,75,63,70,52,58,28,53,44,55.6,37.5,62.5,21.4
68,Federico Delbonis,19,60,65,62,69,52,61,28,51,39,37.5,80,100,23.1
69,Florian Mayer,22,113,45,61,70,51,67,25,44,39,12.5,0,71.4,0
70,Guillermo Garcia-Lopez,29,62,87,55,69,48,54,27,49,37,12.5,0,71.4,0
71,Evgeny Donskoy,30,104,50,57,72,51,56,23,47,25,33.3,40,60,14.3
72,Yen-Hsun Lu,24,120,90,59,73,53,55,27,51,37,27.3,28.6,60,23.1
73,Thomas Fabbiano,27,28,59,64,64,47,50,30,52,31,50,33.3,100,7.7
74,Dusan Lajovic,27,125,51,69,68,55,64,26,47,42,22.7,61.5,75,15
75,Steve Darcis,22,108,51,62,68,48,58,31,48,46,50,60,77.8,30
76,Jeremy Chardy,27,290,159,63,73,49,64,27,48,36,50,50,89.5,5
77,Frances Tiafoe,26,194,74,59,71,53,52,27,48,39,15.4,20,66.7,6.7
78,Ivo Karlovic,23,730,178,65,82,56,72,18,41,29,40.5,54.5,81.3,10.5
79,Mikhail Kukushkin,23,75,24,67,68,50,63,29,52,45,38.5,20,75,26.7
80,Victor Estrella Burgos,25,76,54,66,70,51,62,22,47,34,53.3,57.1,100,28.6
81,Cedrik-Marcel Stebe,22,39,31,61,63,45,51,32,55,43,50,40,50,50
82,Pierre-Hugues Herbert,23,275,122,60,74,50,58,24,44,26,52.9,30,83.3,0
83,Mikhail Youzhny,27,112,109,60,67,48,62,28,48,40,55.6,18.2,60,6.7
84,Marton Fucsovics,23,69,49,54,75,49,59,28,50,44,14.3,40,100,11.1
85,Tennys Sandgren,32,37,12,61,72,43,62,23,48,37,100,0,66.7,0
86,Radu Albot,30,79,75,64,66,51,55,28,48,34,50,28.6,63.6,13.3
87,Stefanos Tsitsipas,32,106,30,58,77,47,58,25,43,33,50,33.3,75,10
88,Laslo Djere,29,27,28,60,66,56,62,34,49,38,80,66.7,83.3,33.3
89,Gilles Simon,26,117,103,56,68,51,60,30,51,43,33.3,50,85.7,14.8
90,Maximilian Marterer,27,62,15,68,66,52,55,26,39,32,0,0,0,0
91,Marius Copil,25,209,73,56,75,52,63,25,44,31,50,42.9,58.3,9.1
92,Jordan Thompson,26,165,72,61,68,47,59,30,48,41,40,54.5,66.7,27.8
93,Rogerio Dutra Silva,30,140,120,58,67,49,57,32,47,32,61.5,54.5,50,21.1
94,Andreas Seppi,22,260,87,57,74,50,62,28,49,42,43.5,62.5,86.7,23.8
95,Malek Jaziri,31,173,124,53,72,47,57,26,49,38,46.7,41.7,77.8,10
96,Taro Daniel,25,42,45,65,65,47,62,28,50,36,50,40,44.4,0
97,Nicolas Kicker,26,56,60,61,66,54,60,28,48,44,25,33.3,80,15.4
98,Blaz Kavcic,26,7,17,52,68,43,60,31,48,27,0,0,50,0
99,Gerald Melzer,24,74,37,67,68,52,62,26,51,41,45.5,42.9,70,25
100,Matthew Ebden,18,75,70,64,71,47,61,30,50,36,28.6,83.3,83.3,40
